pollutant,year,lag,Rc,CI,class,direction,note
NO2,2023,0,0.914,"[0.72, 1.00]",Critical,harmful,
NO2,2023,1,0.968,"[0.85, 1.00]",Critical,harmful,
NO2,2023,2,0.952,"[0.78, 1.00]",Critical,harmful,
NO2,2024,0,0.314,"[0.11, 0.64]",Moderate-low,protective-dir,
NO2,2024,1,0.769,"[0.59, 0.93]",Moderate-high,harmful,
NO2,2024,2,0.606,"[0.28, 0.85]",Low,harmful,
NO2,2025,0,0.681,"[0.33, 0.89]",Moderate-low,harmful,
NO2,2025,1,0.798,"[0.61, 0.94]",Moderate-high,harmful,
NO2,2025,2,0.699,"[0.38, 0.86]",Moderate-low,harmful,
NO2,2026,0,0.074,"[0.00, 0.30]",Critical,protective-dir,unstable (truncated yr)
NO2,2026,1,0.115,"[0.00, 0.38]",Very high,protective-dir,unstable (truncated yr)
NO2,2026,2,0.063,"[0.00, 0.25]",Critical,protective-dir,unstable (truncated yr)
PM10,2023,0,0.887,"[0.72, 1.00]",Very high,harmful,
PM10,2023,1,0.743,"[0.40, 0.94]",Moderate,harmful,
PM10,2023,2,0.259,"[0.06, 0.62]",Moderate,protective-dir,
PM10,2024,0,0.311,"[0.13, 0.65]",Moderate-low,protective-dir,
PM10,2024,1,0.306,"[0.11, 0.61]",Moderate-low,protective-dir,
PM10,2024,2,0.284,"[0.10, 0.59]",Moderate,protective-dir,
PM10,2025,0,0.673,"[0.35, 0.88]",Moderate-low,harmful,
PM10,2025,1,0.696,"[0.38, 0.88]",Moderate-low,harmful,
PM10,2025,2,0.594,"[0.28, 0.85]",Very low,harmful,
PM10,2026,0,0.470,"[0.00, 0.91]",Negligible,protective-dir,unstable (truncated yr)
PM10,2026,1,0.435,"[0.00, 1.00]",Very low,protective-dir,unstable (truncated yr)
PM10,2026,2,0.558,"[0.00, 1.00]",Very low,harmful,unstable (truncated yr)
PM2.5,2023,0,0.875,"[0.70, 0.99]",Very high,harmful,
PM2.5,2023,1,0.803,"[0.53, 1.00]",High,harmful,
PM2.5,2023,2,0.232,"[0.05, 0.57]",Moderate-high,protective-dir,
PM2.5,2024,0,0.360,"[0.14, 0.71]",Low,protective-dir,
PM2.5,2024,1,0.273,"[0.06, 0.55]",Moderate,protective-dir,
PM2.5,2024,2,0.321,"[0.10, 0.67]",Moderate-low,protective-dir,
PM2.5,2025,0,0.690,"[0.38, 0.88]",Moderate-low,harmful,
PM2.5,2025,1,0.707,"[0.40, 0.90]",Moderate,harmful,
PM2.5,2025,2,0.660,"[0.31, 0.89]",Moderate-low,harmful,
PM2.5,2026,0,0.506,"[0.00, 0.93]",Negligible,harmful,unstable (truncated yr)
PM2.5,2026,1,0.409,"[0.00, 1.00]",Very low,protective-dir,unstable (truncated yr)
PM2.5,2026,2,0.527,"[0.00, 1.00]",Negligible,harmful,unstable (truncated yr)
