,NO2_mean,NO2_max,NO2_p75,PM25_mean,PM25_max,PM25_p75,PM10_mean,PM10_max,PM10_p75,temp_mean,humidity_mean,sin52,cos52,sin26,cos26,respiratory_disease,ILI,pneumonia
NO2_mean,1.0,0.97,0.9867,0.8018,0.8385,0.8198,0.7653,0.8183,0.774,-0.852,0.5844,-0.8052,-0.4285,0.0252,0.0529,0.6651,0.5,0.4556
NO2_max,0.97,1.0,0.9699,0.7726,0.8292,0.7935,0.743,0.8229,0.7551,-0.8503,0.5691,-0.8143,-0.3877,0.0082,0.0544,0.6788,0.5191,0.4725
NO2_p75,0.9867,0.9699,1.0,0.7909,0.8364,0.8133,0.7596,0.8249,0.7754,-0.8512,0.5563,-0.8185,-0.3772,0.0188,0.0643,0.6825,0.53,0.4749
PM25_mean,0.8018,0.7726,0.7909,1.0,0.9469,0.9815,0.9564,0.8936,0.935,-0.6466,0.4982,-0.6642,-0.379,0.1333,-0.174,0.5315,0.4531,0.4037
PM25_max,0.8385,0.8292,0.8364,0.9469,1.0,0.9417,0.8952,0.9581,0.8914,-0.7236,0.5433,-0.7253,-0.3964,0.05,-0.1206,0.5927,0.5027,0.4406
PM25_p75,0.8198,0.7935,0.8133,0.9815,0.9417,1.0,0.9498,0.8983,0.959,-0.6609,0.4739,-0.6812,-0.376,0.1007,-0.1462,0.5485,0.4599,0.4162
PM10_mean,0.7653,0.743,0.7596,0.9564,0.8952,0.9498,1.0,0.9036,0.9738,-0.573,0.4453,-0.5882,-0.3844,0.1086,-0.1559,0.4959,0.4485,0.4445
PM10_max,0.8183,0.8229,0.8249,0.8936,0.9581,0.8983,0.9036,1.0,0.8949,-0.6861,0.5301,-0.6869,-0.3846,0.0288,-0.108,0.5878,0.5166,0.4782
PM10_p75,0.774,0.7551,0.7754,0.935,0.8914,0.959,0.9738,0.8949,1.0,-0.5917,0.4185,-0.6092,-0.3657,0.0707,-0.1245,0.5106,0.4513,0.4464
temp_mean,-0.852,-0.8503,-0.8512,-0.6466,-0.7236,-0.6609,-0.573,-0.6861,-0.5917,1.0,-0.6427,0.9311,0.2158,-0.1168,-0.0543,-0.8265,-0.6648,-0.6057
humidity_mean,0.5844,0.5691,0.5563,0.4982,0.5433,0.4739,0.4453,0.5301,0.4185,-0.6427,1.0,-0.577,-0.4068,0.1039,0.0423,0.5611,0.4538,0.444
sin52,-0.8052,-0.8143,-0.8185,-0.6642,-0.7253,-0.6812,-0.5882,-0.6869,-0.6092,0.9311,-0.577,1.0,0.0086,-0.0167,-0.0093,-0.8307,-0.6606,-0.5705
cos52,-0.4285,-0.3877,-0.3772,-0.379,-0.3964,-0.376,-0.3844,-0.3846,-0.3657,0.2158,-0.4068,0.0086,1.0,0.0064,-0.0195,-0.0555,0.0368,-0.0971
sin26,0.0252,0.0082,0.0188,0.1333,0.05,0.1007,0.1086,0.0288,0.0707,-0.1168,0.1039,-0.0167,0.0064,1.0,0.0123,0.1863,0.3357,0.2569
cos26,0.0529,0.0544,0.0643,-0.174,-0.1206,-0.1462,-0.1559,-0.108,-0.1245,-0.0543,0.0423,-0.0093,-0.0195,0.0123,1.0,0.145,0.0444,-0.0143
respiratory_disease,0.6651,0.6788,0.6825,0.5315,0.5927,0.5485,0.4959,0.5878,0.5106,-0.8265,0.5611,-0.8307,-0.0555,0.1863,0.145,1.0,0.9005,0.8006
ILI,0.5,0.5191,0.53,0.4531,0.5027,0.4599,0.4485,0.5166,0.4513,-0.6648,0.4538,-0.6606,0.0368,0.3357,0.0444,0.9005,1.0,0.8794
pneumonia,0.4556,0.4725,0.4749,0.4037,0.4406,0.4162,0.4445,0.4782,0.4464,-0.6057,0.444,-0.5705,-0.0971,0.2569,-0.0143,0.8006,0.8794,1.0
